timestamp_utc,encoder,mitigation_method,dataset,evaluation_language,comparison,delta_bias_points,ci_lower,ci_upper,p_value,significant,n_pairs
2026-06-06T06:28:24Z,xlm-roberta-base,sentence_debias,crows_pairs,en,baseline_minus_method,-0.2813,-1.8987,1.3361,0.7474,False,1422
2026-06-06T06:28:24Z,xlm-roberta-base,sentence_debias,crows_pairs,bn,baseline_minus_method,-1.6197,-3.3803,0.1426,0.0848,False,1420
2026-06-06T06:28:24Z,xlm-roberta-base,sentence_debias,crows_pairs,hi,baseline_minus_method,1.4075,-0.2111,3.026,0.1012,False,1421
2026-06-06T06:30:58Z,xlm-roberta-base,inlp,crows_pairs,en,baseline_minus_method,3.0239,1.8284,4.2897,0.0,True,1422
2026-06-06T06:30:58Z,xlm-roberta-base,inlp,crows_pairs,bn,baseline_minus_method,-1.5493,-2.6056,-0.5634,0.0048,True,1420
2026-06-06T06:30:58Z,xlm-roberta-base,inlp,crows_pairs,hi,baseline_minus_method,-0.2111,-1.2667,0.8445,0.7378,False,1421
2026-06-06T06:33:12Z,xlm-roberta-base,sentence_debias,indian_bias,en,baseline_minus_method,-0.3942,-2.4967,1.7083,0.7462,False,761
2026-06-06T06:33:12Z,xlm-roberta-base,sentence_debias,indian_bias,bn,baseline_minus_method,-4.8684,-7.5,-2.3684,0.0002,True,760
2026-06-06T06:33:12Z,xlm-roberta-base,sentence_debias,indian_bias,hi,baseline_minus_method,1.5769,-0.7884,3.9422,0.2026,False,761
2026-06-06T06:34:20Z,xlm-roberta-base,inlp,indian_bias,en,baseline_minus_method,1.3141,-0.2628,2.8909,0.1158,False,761
2026-06-06T06:34:20Z,xlm-roberta-base,inlp,indian_bias,bn,baseline_minus_method,-1.1842,-2.6316,0.1316,0.1058,False,760
2026-06-06T06:34:20Z,xlm-roberta-base,inlp,indian_bias,hi,baseline_minus_method,0.657,-0.657,1.9711,0.3686,False,761
2026-06-06T06:38:56Z,google/muril-base-cased,sentence_debias,crows_pairs,en,baseline_minus_method,-0.6329,-1.6174,0.3516,0.2282,False,1422
2026-06-06T06:38:56Z,google/muril-base-cased,sentence_debias,crows_pairs,bn,baseline_minus_method,-1.5493,-2.6056,-0.493,0.0024,True,1420
2026-06-06T06:38:56Z,google/muril-base-cased,sentence_debias,crows_pairs,hi,baseline_minus_method,-0.2111,-1.0556,0.6334,0.6912,False,1421
2026-06-06T06:41:03Z,google/muril-base-cased,inlp,crows_pairs,en,baseline_minus_method,-4.6414,-6.0478,-3.3052,0.0,True,1422
2026-06-06T06:41:03Z,google/muril-base-cased,inlp,crows_pairs,bn,baseline_minus_method,-3.4507,-4.7183,-2.3239,0.0,True,1420
2026-06-06T06:41:03Z,google/muril-base-cased,inlp,crows_pairs,hi,baseline_minus_method,-1.4778,-2.4631,-0.4926,0.0028,True,1421
2026-06-06T06:42:55Z,google/muril-base-cased,sentence_debias,indian_bias,en,baseline_minus_method,-2.3653,-3.8108,-0.9198,0.002,True,761
2026-06-06T06:42:55Z,google/muril-base-cased,sentence_debias,indian_bias,bn,baseline_minus_method,-1.4474,-2.8947,0.0,0.0618,False,760
2026-06-06T06:42:55Z,google/muril-base-cased,sentence_debias,indian_bias,hi,baseline_minus_method,-2.3653,-3.6794,-1.0512,0.0,True,761
2026-06-06T06:43:53Z,google/muril-base-cased,inlp,indian_bias,en,baseline_minus_method,-8.5414,-10.9067,-6.3075,0.0,True,761
2026-06-06T06:43:53Z,google/muril-base-cased,inlp,indian_bias,bn,baseline_minus_method,-1.9737,-3.6842,-0.3947,0.0242,True,760
2026-06-06T06:43:53Z,google/muril-base-cased,inlp,indian_bias,hi,baseline_minus_method,-2.8909,-4.5992,-1.1827,0.0004,True,761
2026-06-06T06:50:00Z,bert-base-multilingual-cased,sentence_debias,crows_pairs,en,baseline_minus_method,-1.0549,-2.0394,-0.0703,0.0398,True,1422
2026-06-06T06:50:00Z,bert-base-multilingual-cased,sentence_debias,crows_pairs,bn,baseline_minus_method,-0.6338,-1.1972,-0.0704,0.0314,True,1420
2026-06-06T06:50:00Z,bert-base-multilingual-cased,sentence_debias,crows_pairs,hi,baseline_minus_method,-0.0704,-0.6334,0.4926,0.9038,False,1421
2026-06-06T06:52:51Z,bert-base-multilingual-cased,inlp,crows_pairs,en,baseline_minus_method,-1.2658,-2.3207,-0.211,0.0168,True,1422
2026-06-06T06:52:51Z,bert-base-multilingual-cased,inlp,crows_pairs,bn,baseline_minus_method,0.5634,-0.1408,1.338,0.153,False,1420
2026-06-06T06:52:51Z,bert-base-multilingual-cased,inlp,crows_pairs,hi,baseline_minus_method,-0.7741,-1.4075,-0.1407,0.02,True,1421
2026-06-06T06:55:13Z,bert-base-multilingual-cased,sentence_debias,indian_bias,en,baseline_minus_method,-1.8397,-3.1537,-0.5256,0.0046,True,761
2026-06-06T06:55:13Z,bert-base-multilingual-cased,sentence_debias,indian_bias,bn,baseline_minus_method,0.1316,-0.3947,0.6612,0.8372,False,760
2026-06-06T06:55:13Z,bert-base-multilingual-cased,sentence_debias,indian_bias,hi,baseline_minus_method,-0.1314,-0.657,0.3942,0.8218,False,761
2026-06-06T06:56:26Z,bert-base-multilingual-cased,inlp,indian_bias,en,baseline_minus_method,-1.9711,-3.6794,-0.3942,0.018,True,761
2026-06-06T06:56:26Z,bert-base-multilingual-cased,inlp,indian_bias,bn,baseline_minus_method,0.1316,-0.6579,1.0526,0.8608,False,760
2026-06-06T06:56:26Z,bert-base-multilingual-cased,inlp,indian_bias,hi,baseline_minus_method,-0.7884,-1.8397,0.2628,0.1664,False,761
