timestamp_utc,encoder,mitigation_method,projection_fit_language,evaluation_language,bias_category,baseline_bias_score,debiased_bias_score,bias_reduction_points,n_pairs
2026-06-06T06:28:24Z,xlm-roberta-base,sentence_debias,en,en,all,56.8917,57.173,-0.2813,1422
2026-06-06T06:28:24Z,xlm-roberta-base,sentence_debias,en,bn,all,52.3239,53.9437,-1.6197,1420
2026-06-06T06:28:24Z,xlm-roberta-base,sentence_debias,en,hi,all,54.3279,52.9205,1.4075,1421
2026-06-06T06:30:58Z,xlm-roberta-base,inlp,en,en,all,56.8917,53.8678,3.0239,1422
2026-06-06T06:30:58Z,xlm-roberta-base,inlp,en,bn,all,52.3239,53.8732,-1.5493,1420
2026-06-06T06:30:58Z,xlm-roberta-base,inlp,en,hi,all,54.3279,54.5391,-0.2111,1421
2026-06-06T06:33:12Z,xlm-roberta-base,sentence_debias,en,en,all,54.7963,55.1905,-0.3942,761
2026-06-06T06:33:12Z,xlm-roberta-base,sentence_debias,en,bn,all,57.8947,62.7632,-4.8684,760
2026-06-06T06:33:12Z,xlm-roberta-base,sentence_debias,en,hi,all,54.1393,52.5624,1.5769,761
2026-06-06T06:34:20Z,xlm-roberta-base,inlp,en,en,all,54.7963,53.4823,1.3141,761
2026-06-06T06:34:20Z,xlm-roberta-base,inlp,en,bn,all,57.8947,59.0789,-1.1842,760
2026-06-06T06:34:20Z,xlm-roberta-base,inlp,en,hi,all,54.1393,53.4823,0.657,761
2026-06-06T06:38:56Z,google/muril-base-cased,sentence_debias,en,en,all,56.3291,56.962,-0.6329,1422
2026-06-06T06:38:56Z,google/muril-base-cased,sentence_debias,en,bn,all,53.8732,55.4225,-1.5493,1420
2026-06-06T06:38:56Z,google/muril-base-cased,sentence_debias,en,hi,all,55.9465,56.1576,-0.2111,1421
2026-06-06T06:41:03Z,google/muril-base-cased,inlp,en,en,all,56.3291,60.9705,-4.6414,1422
2026-06-06T06:41:03Z,google/muril-base-cased,inlp,en,bn,all,53.8732,57.3239,-3.4507,1420
2026-06-06T06:41:03Z,google/muril-base-cased,inlp,en,hi,all,55.9465,57.4243,-1.4778,1421
2026-06-06T06:42:55Z,google/muril-base-cased,sentence_debias,en,en,all,58.3443,60.7096,-2.3653,761
2026-06-06T06:42:55Z,google/muril-base-cased,sentence_debias,en,bn,all,57.6316,59.0789,-1.4474,760
2026-06-06T06:42:55Z,google/muril-base-cased,sentence_debias,en,hi,all,57.0302,59.3955,-2.3653,761
2026-06-06T06:43:53Z,google/muril-base-cased,inlp,en,en,all,58.3443,66.8857,-8.5414,761
2026-06-06T06:43:53Z,google/muril-base-cased,inlp,en,bn,all,57.6316,59.6053,-1.9737,760
2026-06-06T06:43:53Z,google/muril-base-cased,inlp,en,hi,all,57.0302,59.9212,-2.8909,761
2026-06-06T06:50:00Z,bert-base-multilingual-cased,sentence_debias,en,en,all,52.8833,53.9381,-1.0549,1422
2026-06-06T06:50:00Z,bert-base-multilingual-cased,sentence_debias,en,bn,all,53.8732,54.507,-0.6338,1420
2026-06-06T06:50:00Z,bert-base-multilingual-cased,sentence_debias,en,hi,all,56.8614,56.9317,-0.0704,1421
2026-06-06T06:52:51Z,bert-base-multilingual-cased,inlp,en,en,all,52.8833,54.1491,-1.2658,1422
2026-06-06T06:52:51Z,bert-base-multilingual-cased,inlp,en,bn,all,53.8732,53.3099,0.5634,1420
2026-06-06T06:52:51Z,bert-base-multilingual-cased,inlp,en,hi,all,56.8614,57.6355,-0.7741,1421
2026-06-06T06:55:13Z,bert-base-multilingual-cased,sentence_debias,en,en,all,52.5624,54.4021,-1.8397,761
2026-06-06T06:55:13Z,bert-base-multilingual-cased,sentence_debias,en,bn,all,62.1053,61.9737,0.1316,760
2026-06-06T06:55:13Z,bert-base-multilingual-cased,sentence_debias,en,hi,all,52.6938,52.8252,-0.1314,761
2026-06-06T06:56:26Z,bert-base-multilingual-cased,inlp,en,en,all,52.5624,54.5335,-1.9711,761
2026-06-06T06:56:26Z,bert-base-multilingual-cased,inlp,en,bn,all,62.1053,61.9737,0.1316,760
2026-06-06T06:56:26Z,bert-base-multilingual-cased,inlp,en,hi,all,52.6938,53.4823,-0.7884,761
