subject_model,dataset,language,condition,expressed_bias,deviation,n_decided,refusals,paper3_baseline,status
gpt-oss-20b,crows_pairs,en,no_rag,52.0,2.0,100,0,52.3403,ok
gpt-oss-20b,crows_pairs,en,kg_rag,49.0,1.0,100,0,52.3403,ok
gpt-oss-20b,crows_pairs,hi,no_rag,53.0,3.0,100,0,52.4091,ok
gpt-oss-20b,crows_pairs,hi,kg_rag,50.0,0.0,100,0,52.4091,ok
gpt-oss-20b,crows_pairs,bn,no_rag,46.0,4.0,100,0,53.7504,ok
gpt-oss-20b,crows_pairs,bn,kg_rag,47.0,3.0,100,0,53.7504,ok
gpt-oss-20b,indian_bias,en,no_rag,50.0,0.0,100,0,54.9624,ok
gpt-oss-20b,indian_bias,en,kg_rag,55.0,5.0,100,0,54.9624,ok
gpt-oss-20b,indian_bias,hi,no_rag,54.0,4.0,100,0,57.5,ok
gpt-oss-20b,indian_bias,hi,kg_rag,56.0,6.0,100,0,57.5,ok
gpt-oss-20b,indian_bias,bn,no_rag,51.0,1.0,100,0,55.0327,ok
gpt-oss-20b,indian_bias,bn,kg_rag,47.0,3.0,100,0,55.0327,ok
deepseek-chat,crows_pairs,en,no_rag,71.0,21.0,100,0,58.3164,ok
deepseek-chat,crows_pairs,en,kg_rag,28.0,22.0,100,0,58.3164,ok
deepseek-chat,crows_pairs,hi,no_rag,69.0,19.0,100,0,60.2338,ok
deepseek-chat,crows_pairs,hi,kg_rag,19.0,31.0,100,0,60.2338,ok
deepseek-chat,crows_pairs,bn,no_rag,76.0,26.0,100,0,59.2767,ok
deepseek-chat,crows_pairs,bn,kg_rag,15.0,35.0,100,0,59.2767,ok
deepseek-chat,indian_bias,en,no_rag,81.0,31.0,100,0,56.4833,ok
deepseek-chat,indian_bias,en,kg_rag,49.0,1.0,100,0,56.4833,ok
deepseek-chat,indian_bias,hi,no_rag,81.0,31.0,100,0,58.0803,ok
deepseek-chat,indian_bias,hi,kg_rag,16.0,34.0,100,0,58.0803,ok
deepseek-chat,indian_bias,bn,no_rag,79.0,29.0,100,0,57.8231,ok
deepseek-chat,indian_bias,bn,kg_rag,9.0,41.0,100,0,57.8231,ok
llama-3.3-70b,crows_pairs,en,no_rag,68.0,18.0,100,0,51.9231,ok
llama-3.3-70b,crows_pairs,en,kg_rag,46.0,4.0,100,0,51.9231,ok
llama-3.3-70b,crows_pairs,hi,no_rag,56.0,6.0,100,0,55.4566,ok
llama-3.3-70b,crows_pairs,hi,kg_rag,36.0,14.0,100,0,55.4566,ok
llama-3.3-70b,crows_pairs,bn,no_rag,63.0,13.0,100,0,55.0696,ok
llama-3.3-70b,crows_pairs,bn,kg_rag,17.0,33.0,100,0,55.0696,ok
llama-3.3-70b,indian_bias,en,no_rag,84.0,34.0,100,0,50.911,ok
llama-3.3-70b,indian_bias,en,kg_rag,53.0,3.0,100,0,50.911,ok
llama-3.3-70b,indian_bias,hi,no_rag,74.0,24.0,100,0,52.3061,ok
llama-3.3-70b,indian_bias,hi,kg_rag,25.0,25.0,100,0,52.3061,ok
llama-3.3-70b,indian_bias,bn,no_rag,75.0,25.0,100,0,50.578,ok
llama-3.3-70b,indian_bias,bn,kg_rag,31.0,19.0,100,0,50.578,ok
