subject_model,dataset,language,condition,expressed_bias,deviation,n_decided,refusals,status
qwen2.5-7b,crows_pairs,en,no_rag,69.0,19.0,300,0,ok
qwen2.5-7b,crows_pairs,en,kg_rag,28.6667,21.3333,300,0,ok
qwen2.5-7b,crows_pairs,hi,no_rag,55.3333,5.3333,300,0,ok
qwen2.5-7b,crows_pairs,hi,kg_rag,12.0,38.0,300,0,ok
qwen2.5-7b,crows_pairs,bn,no_rag,54.6667,4.6667,300,0,ok
qwen2.5-7b,crows_pairs,bn,kg_rag,8.6667,41.3333,300,0,ok
qwen2.5-7b,indian_bias,en,no_rag,61.3333,11.3333,300,0,ok
qwen2.5-7b,indian_bias,en,kg_rag,25.3333,24.6667,300,0,ok
qwen2.5-7b,indian_bias,hi,no_rag,65.6667,15.6667,300,0,ok
qwen2.5-7b,indian_bias,hi,kg_rag,18.0,32.0,300,0,ok
qwen2.5-7b,indian_bias,bn,no_rag,55.6667,5.6667,300,0,ok
qwen2.5-7b,indian_bias,bn,kg_rag,10.6667,39.3333,300,0,ok
aya-23-8b,crows_pairs,en,no_rag,48.6667,1.3333,300,0,ok
aya-23-8b,crows_pairs,en,kg_rag,13.3333,36.6667,300,0,ok
aya-23-8b,crows_pairs,hi,no_rag,51.3333,1.3333,300,0,ok
aya-23-8b,crows_pairs,hi,kg_rag,17.3333,32.6667,300,0,ok
aya-23-8b,crows_pairs,bn,no_rag,49.6667,0.3333,300,0,ok
aya-23-8b,crows_pairs,bn,kg_rag,31.3333,18.6667,300,0,ok
aya-23-8b,indian_bias,en,no_rag,56.6667,6.6667,300,0,ok
aya-23-8b,indian_bias,en,kg_rag,25.3333,24.6667,300,0,ok
aya-23-8b,indian_bias,hi,no_rag,52.3333,2.3333,300,0,ok
aya-23-8b,indian_bias,hi,kg_rag,24.6667,25.3333,300,0,ok
aya-23-8b,indian_bias,bn,no_rag,49.3333,0.6667,300,0,ok
aya-23-8b,indian_bias,bn,kg_rag,27.3333,22.6667,300,0,ok
